day	Anno	celltype	UMAP_1	UMAP_2	down:Trps1	down:Maf	down:Tcf7l2	down:Hivep3	down:Mef2c	down:Zfp608
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.17	-4.06	0	0	0	0	5.1	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.81	-5.7	0	0	0	0	4.4	0
E9.5	E95_Blood_progenitors	Blood_progenitors	0.2	5.77	5.2	0	5	4.7	5	5
E9.5	E95_Blood_progenitors	Blood_progenitors	0.67	4.22	4.2	0	0	0	6.1	4.9
E9.5	E95_Blood_progenitors	Blood_progenitors	2.81	-2.77	0	0	4	0	0	5.1
E9.5	E95_Blood_progenitors	Blood_progenitors	-4.83	-7.33	0	0	0	0	6.6	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-0.72	2.43	5	0	0	0	0	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.57	-2.66	0	0	0	0	4.6	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-0.56	-6.41	0	0	0	0	4	0
E9.5	E95_Blood_progenitors	Blood_progenitors	2.14	4.13	0	4.3	5	0	6.6	0
E9.5	E95_Blood_progenitors	Blood_progenitors	3.16	-2.89	4.2	0	0	0	0	0
E9.5	E95_Blood_progenitors	Blood_progenitors	0.97	3.17	0	0	0	0	6.1	4.7
E9.5	E95_Blood_progenitors	Blood_progenitors	-5.01	-3.77	0	0	0	0	0	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-0.12	3.02	5.3	5.3	5.3	0	6	5.3
E9.5	E95_Blood_progenitors	Blood_progenitors	3.1	-0.05	5.7	0	0	0	6.6	5
E9.5	E95_Blood_progenitors	Blood_progenitors	3.29	0.94	5.6	4.5	4.5	4.5	5.6	4.5
E9.5	E95_Blood_progenitors	Blood_progenitors	-2.14	-6.52	0	0	0	0	0	0
E9.5	E95_Blood_progenitors	Blood_progenitors	1.63	0.63	4.7	5.3	0	0	5.3	4.7
E9.5	E95_Blood_progenitors	Blood_progenitors	2.99	0.97	6.1	0	4.5	0	6.4	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.3	-4.7	0	0	0	0	5.3	0
E9.5	E95_Blood_progenitors	Blood_progenitors	3.59	1.33	5.3	0	5.7	0	5.3	0
E9.5	E95_Blood_progenitors	Blood_progenitors	3.26	-4.16	0	0	0	0	0	0
E9.5	E95_Blood_progenitors	Blood_progenitors	2.67	0.46	5.9	0	0	0	5.9	4.5
E9.5	E95_Blood_progenitors	Blood_progenitors	-1.71	5.92	4.7	0	5.4	0	4.7	0
E9.5	E95_Blood_progenitors	Blood_progenitors	3.18	0.78	0	0	0	0	6.4	0
E9.5	E95_Blood_progenitors	Blood_progenitors	1.01	-4.72	0	0	0	0	0	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-7.4	-5.71	0	0	0	0	5	0
E9.5	E95_Blood_progenitors	Blood_progenitors	4.28	-0.53	4.1	0	0	0	5.2	0
E9.5	E95_Blood_progenitors	Blood_progenitors	3.08	0.12	0	0	0	0	5.6	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-4.25	-5.36	0	0	0	0	5.9	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-7.05	-4.97	0	0	0	0	5.1	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.23	-3.62	0	0	0	0	5.3	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-1.13	2.95	5.2	0	0	5.9	6.3	5.2
E9.5	E95_Blood_progenitors	Blood_progenitors	3.81	1.04	5.6	0	4.5	4.5	6.8	4.5
E9.5	E95_Blood_progenitors	Blood_progenitors	2.71	-1.85	0	0	0	0	4.2	0
E9.5	E95_Blood_progenitors	Blood_progenitors	0.01	0.13	0	0	0	0	6.5	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-5.35	-3.62	0	0	0	0	5.1	0
E9.5	E95_Blood_progenitors	Blood_progenitors	1.12	0.26	0	0	0	0	6.6	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-4.41	-6.85	0	0	0	0	5.1	0
E9.5	E95_Blood_progenitors	Blood_progenitors	0.2	4.49	5.3	0	0	0	6	0
E9.5	E95_Blood_progenitors	Blood_progenitors	0.79	-0.03	0	0	0	0	5.4	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-5.39	-5.16	0	0	0	0	4.1	0
E9.5	E95_Blood_progenitors	Blood_progenitors	0.87	1.12	4.8	4.8	0	0	4.8	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-3.92	-7.33	0	0	0	0	5.5	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-5.41	-6.77	0	0	0	0	6.6	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-0.97	-3.19	0	0	0	0	5.5	0
E9.5	E95_Blood_progenitors	Blood_progenitors	2.76	7.07	5.8	0	3.9	3.9	4.5	0
E9.5	E95_Blood_progenitors	Blood_progenitors	4.09	-0.25	3.9	0	3.9	4.6	5.5	3.9
E9.5	E95_Blood_progenitors	Blood_progenitors	3.22	-3.12	0	0	0	0	5.5	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-5.59	-6.61	0	0	0	0	5.1	0
E9.5	E95_Blood_progenitors	Blood_progenitors	0.1	-0.71	0	0	0	0	0	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.79	-5.51	0	0	0	0	0	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-5.02	-4.26	4.5	0	0	0	0	0
E9.5	E95_Blood_progenitors	Blood_progenitors	1.98	2.11	0	0	0	0	6.6	0
E9.5	E95_Blood_progenitors	Blood_progenitors	3.68	-3.59	5.5	0	0	0	4.2	4.9
E9.5	E95_Blood_progenitors	Blood_progenitors	-7.21	-6.4	0	0	0	0	0	0
E9.5	E95_Blood_progenitors	Blood_progenitors	2.2	0.58	5.2	0	0	0	6.3	0
E9.5	E95_Blood_progenitors	Blood_progenitors	0.21	-0.6	0	0	0	0	5	0
E9.5	E95_Blood_progenitors	Blood_progenitors	2.78	0.29	5.5	4.8	0	0	7.1	0
E9.5	E95_Blood_progenitors	Blood_progenitors	1.36	0.46	6.2	0	0	0	6.7	0
E9.5	E95_Blood_progenitors	Blood_progenitors	1.99	1.05	0	0	0	0	6.5	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-7.39	-6.33	0	0	0	0	5.4	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-5.28	-6.89	0	0	0	0	4.8	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-5.3	-5.43	0	3.6	0	0	5.2	3.6
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.74	-6.98	0	0	0	0	5.8	4.4
E9.5	E95_Blood_progenitors	Blood_progenitors	3.42	0.42	4.8	0	0	0	6.7	4.8
E9.5	E95_Blood_progenitors	Blood_progenitors	3.19	-0.58	5.2	0	0	0	5.9	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-0.8	1.52	0	0	5.3	5.3	6.7	0
E9.5	E95_Blood_progenitors	Blood_progenitors	4.41	-0.06	4.9	0	4.9	4.9	6.3	4.9
E9.5	E95_Blood_progenitors	Blood_progenitors	3.65	0.24	4.2	0	0	0	6	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.39	-4.72	4.1	0	0	0	4.8	0
E9.5	E95_Blood_progenitors	Blood_progenitors	3.43	-3.51	3.7	0	0	0	3.7	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.45	-5.87	0	0	0	0	5.9	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-5.65	-4.7	0	0	0	0	5.6	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.84	-6.11	0	0	0	0	4.7	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.22	-7.12	0	0	0	0	5.8	0
E9.5	E95_Blood_progenitors	Blood_progenitors	0.53	4.26	4.8	4.1	4.1	0	5.9	4.8
E9.5	E95_Blood_progenitors	Blood_progenitors	-5.85	-4.63	0	0	0	0	5.7	0
E9.5	E95_Blood_progenitors	Blood_progenitors	2.93	1.18	5.4	3.8	4.4	0	5.8	4.4
E9.5	E95_Blood_progenitors	Blood_progenitors	4.14	-2.99	4.8	0	4.1	0	4.1	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-5.05	-7.51	0	0	0	0	7.3	0
E9.5	E95_Blood_progenitors	Blood_progenitors	3.07	-1.61	0	0	0	4.6	4.6	4.6
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.94	-3.16	0	0	0	0	5.7	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.46	-5.14	0	0	0	0	4.6	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.13	-3.59	0	0	0	0	5	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-7.04	-5.2	0	0	0	0	5	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.88	-6.38	0	0	0	0	5.8	0
E9.5	E95_Blood_progenitors	Blood_progenitors	0.51	-2.4	0	0	0	0	0	0
E9.5	E95_Blood_progenitors	Blood_progenitors	0.71	1.11	0	0	5.3	0	5.3	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.25	-3.13	0	0	0	0	6.5	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.53	-3.64	0	0	0	0	4.1	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-4.54	-6.48	0	0	0	0	6.7	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-2.32	-6.66	0	0	0	0	5.9	5.5
E9.5	E95_Blood_progenitors	Blood_progenitors	2.72	0.12	5.3	0	0	0	6.4	4.6
E9.5	E95_Blood_progenitors	Blood_progenitors	3.13	-2.48	5.8	0	0	0	5.6	4.9
E9.5	E95_Blood_progenitors	Blood_progenitors	2.91	-0.7	4.6	0	0	0	5.7	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-4.94	-7.09	0	0	0	0	5.2	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.25	-5.68	0	0	0	0	4.6	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-5.21	-6.69	0	0	0	0	6.3	0
E9.5	E95_Blood_progenitors	Blood_progenitors	2.81	-2.29	0	0	0	0	0	0
E9.5	E95_Blood_progenitors	Blood_progenitors	2.35	1.61	0	0	5.8	0	4.8	0
E9.5	E95_Blood_progenitors	Blood_progenitors	3.71	-1.55	4.4	0	0	4.4	6.3	0
E9.5	E95_Blood_progenitors	Blood_progenitors	3.27	2.08	5.9	5.5	0	0	6.8	0
E9.5	E95_Blood_progenitors	Blood_progenitors	2.86	-0.48	0	0	0	0	4.9	0
E9.5	E95_Blood_progenitors	Blood_progenitors	1.47	-2.58	0	0	0	0	0	5.3
E9.5	E95_Blood_progenitors	Blood_progenitors	2.06	-0.22	6.5	0	0	0	5.4	0
E9.5	E95_Blood_progenitors	Blood_progenitors	3.13	5.64	0	5.3	0	0	4.6	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.14	-5.62	0	0	0	0	0	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-0.63	1.71	0	0	0	0	5.9	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-5.73	-3.95	0	0	0	0	3.6	3.6
E9.5	E95_Blood_progenitors	Blood_progenitors	-7.4	-4.92	0	0	0	0	0	0
E9.5	E95_Blood_progenitors	Blood_progenitors	3.55	0.54	4.9	0	4.5	0	6.1	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.54	-3.5	0	0	4	0	5.4	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-0.08	-6.33	0	0	0	0	4.2	0
E9.5	E95_Blood_progenitors	Blood_progenitors	1.32	0.58	4.8	0	0	4.8	6.9	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-0.9	-5.68	0	0	0	0	4.9	0
E9.5	E95_Blood_progenitors	Blood_progenitors	3.3	1.23	3.9	4.6	0	0	5.8	4.6
E9.5	E95_Blood_progenitors	Blood_progenitors	3.74	6.48	5	4.6	0	0	5	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-5.31	-4.81	0	0	0	0	6.1	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.47	-6.33	0	0	0	0	6.4	0
E9.5	E95_Blood_progenitors	Blood_progenitors	1.92	7.51	0	4.9	5.4	4.9	4.9	4.9
E9.5	E95_Blood_progenitors	Blood_progenitors	2.84	-2.84	0	0	0	0	4.4	4.4
E9.5	E95_Blood_progenitors	Blood_progenitors	0.43	4.82	5.6	0	4.6	4	5.6	4
E9.5	E95_Blood_progenitors	Blood_progenitors	-0.89	2.51	0	0	0	5	5	0
E9.5	E95_Blood_progenitors	Blood_progenitors	0.03	-2.53	0	0	0	0	4.7	0
E9.5	E95_Blood_progenitors	Blood_progenitors	2.61	-0.4	0	0	0	0	0	5.7
E9.5	E95_Blood_progenitors	Blood_progenitors	-7.43	-5.88	0	0	0	0	0	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.7	-4.39	0	0	0	0	0	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-1.68	-6.59	5.6	0	0	0	4.5	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-5.79	-4.09	0	0	0	0	5.2	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-8	-3.35	0	0	0	0	0	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.82	-3.32	0	0	0	0	5.1	0
E9.5	E95_Blood_progenitors	Blood_progenitors	2.32	2.21	0	4.4	0	0	0	4.4
E9.5	E95_Blood_progenitors	Blood_progenitors	-1.06	2.75	0	0	0	0	6	5.3
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.66	-5.07	0	0	0	0	3.7	3.7
E9.5	E95_Blood_progenitors	Blood_progenitors	2.7	-2.53	3.9	0	0	0	5	0
E9.5	E95_Blood_progenitors	Blood_progenitors	2.76	1.4	4.6	4.6	0	0	6.4	5.3
E9.5	E95_Blood_progenitors	Blood_progenitors	-4.49	-3.79	0	0	0	0	0	4.6
E10.5	E105_White_blood_cells	White_blood_cells	-0.2	5	0	4.6	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	3.72	2.12	4.9	5.3	0	0	6.3	0
E10.5	E105_Megakaryocytes	Megakaryocytes	0.22	-4.97	0	0	0	0	0	4.3
E10.5	E105_White_blood_cells	White_blood_cells	2.49	-3.74	0	0	0	0	4.9	0
E10.5	E105_White_blood_cells	White_blood_cells	3.1	-2.6	4	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	4.69	1.97	5.6	4	0	0	6.4	0
E10.5	E105_White_blood_cells	White_blood_cells	3.92	-2.22	4	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	-0.68	7.48	0	5.5	0	4.1	6.1	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-2.02	-3.94	0	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	0.07	4.65	0	6.8	0	0	5.2	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-1.5	-5.11	0	0	0	0	5	0
E10.5	E105_White_blood_cells	White_blood_cells	4.19	-0.59	0	0	0	0	6	4.6
E10.5	E105_Megakaryocytes	Megakaryocytes	-5.05	-4.22	0	0	3.6	0	4.3	3.6
E10.5	E105_White_blood_cells	White_blood_cells	4.04	-1.97	5.3	0	0	0	6	0
E10.5	E105_White_blood_cells	White_blood_cells	-0.79	5.92	5.4	0	0	5.4	5.4	0
E10.5	E105_White_blood_cells	White_blood_cells	3.43	2.49	4.6	0	4.6	0	4.6	0
E10.5	E105_White_blood_cells	White_blood_cells	2.11	3.5	0	0	0	0	6.9	0
E10.5	E105_White_blood_cells	White_blood_cells	1.86	2.68	5.8	0	5.1	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	6.74	5.13	4.9	4.6	3.5	0	4.2	3.5
E10.5	E105_Megakaryocytes	Megakaryocytes	-2.07	-5.62	0	0	0	0	5.7	0
E10.5	E105_White_blood_cells	White_blood_cells	2.38	-0.46	5.3	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	1.99	4.42	0	4.4	5.1	0	4.4	0
E10.5	E105_White_blood_cells	White_blood_cells	0.87	-4.67	0	4.4	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	4.11	4.58	0	5.4	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	0	2.41	5.5	4.9	4.9	5.5	6.2	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-6.22	-3.43	0	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	0.16	4.82	0	6.3	0	0	5.2	0
E10.5	E105_White_blood_cells	White_blood_cells	2.46	5.22	0	0	0	0	0	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-3.94	-6.18	0	0	0	0	6.8	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-5.03	-5.28	0	0	0	0	4.5	0
E10.5	E105_White_blood_cells	White_blood_cells	-1.43	5.37	0	0	5.6	0	4.9	4.9
E10.5	E105_White_blood_cells	White_blood_cells	1.74	-3.49	4.1	0	0	0	0	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-0.84	-3.86	0	0	0	0	5.4	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-0.4	-3.25	0	0	0	0	0	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-0.14	-4.04	0	0	0	0	0	5
E10.5	E105_White_blood_cells	White_blood_cells	3.15	-0.76	6.1	0	0	0	4.5	0
E10.5	E105_White_blood_cells	White_blood_cells	2.21	2.62	4.8	4.8	0	0	5.5	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-5.64	-3.99	5	0	0	0	5	0
E10.5	E105_Megakaryocytes	Megakaryocytes	0.66	-4.51	0	0	0	0	4.7	0
E10.5	E105_White_blood_cells	White_blood_cells	2.85	-1.76	4.3	0	0	0	0	5.7
E10.5	E105_White_blood_cells	White_blood_cells	3.77	5.32	0	0	0	0	0	0
E10.5	E105_Megakaryocytes	Megakaryocytes	0.1	-4.79	0	0	0	0	0	4.7
E10.5	E105_White_blood_cells	White_blood_cells	2.05	5.59	0	5.5	0	0	5.1	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-8.63	-5.06	0	0	0	0	0	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-3.41	-6.87	0	0	0	0	5.9	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-6.21	-5.38	0	0	4.6	0	0	0
E10.5	E105_Megakaryocytes	Megakaryocytes	2.68	-4.49	0	0	0	0	4.2	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-0.9	-2.71	0	0	0	0	0	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-0.65	-1.71	0	0	0	0	5.2	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-0.64	-3.32	0	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	1.39	7.41	4.4	0	0	5.1	5.1	0
E10.5	E105_White_blood_cells	White_blood_cells	-1.31	2.88	5.3	0	0	0	5.3	0
E10.5	E105_White_blood_cells	White_blood_cells	-0.62	4.97	0	4.8	0	0	5.9	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-5.03	-4.15	0	0	0	0	5	0
E10.5	E105_White_blood_cells	White_blood_cells	-0.09	2.88	0	0	0	0	6.2	0
E10.5	E105_White_blood_cells	White_blood_cells	1.91	4.29	6.3	5.7	0	0	5.7	5.7
E10.5	E105_White_blood_cells	White_blood_cells	-0.46	4.37	0	5.1	0	0	5.1	0
E10.5	E105_White_blood_cells	White_blood_cells	0.74	3.52	5.2	5.9	5.2	0	6.6	0
E10.5	E105_Megakaryocytes	Megakaryocytes	0.31	-5.05	0	0	0	0	4.4	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-5.62	-3.42	0	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	2.04	6.4	0	5.4	5	0	5	0
E10.5	E105_White_blood_cells	White_blood_cells	4	1.88	4.2	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	0.9	4.24	6	0	0	4.9	0	0
E10.5	E105_White_blood_cells	White_blood_cells	0.54	-2.56	0	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	2.36	-1.14	5.4	0	0	0	0	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-6.39	-6.45	0	0	0	0	0	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-0.15	-4.95	0	0	0	0	4.4	0
E10.5	E105_White_blood_cells	White_blood_cells	0.68	3.3	0	5.6	0	0	5.6	4.9
E10.5	E105_White_blood_cells	White_blood_cells	4.77	-2.48	0	0	0	0	4.8	3.7
E10.5	E105_Megakaryocytes	Megakaryocytes	-6.52	-2.79	4.4	0	0	0	4.4	4.4
E10.5	E105_Megakaryocytes	Megakaryocytes	0.05	-3.56	0	0	0	0	5.1	5.1
E10.5	E105_White_blood_cells	White_blood_cells	-0.36	4.01	0	0	4.9	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	0.08	2.38	0	0	0	0	5.4	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-2.57	-6.71	4.3	0	0	0	5.7	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-5.37	-6.43	0	0	3.6	0	5.8	0
E10.5	E105_White_blood_cells	White_blood_cells	2.68	3.7	5.7	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	3.44	4.29	0	5	0	0	5.4	0
E10.5	E105_White_blood_cells	White_blood_cells	3.25	6.71	0	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	2.82	1.67	4.7	0	5.3	0	5.7	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-4.04	-6.68	0	0	0	0	5.4	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-0.14	-2.88	0	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	1.06	5.55	5.2	4.1	0	4.1	5.2	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-0.69	-4.08	0	0	0	0	0	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-0.27	-3.85	0	0	0	0	0	0
E10.5	E105_Megakaryocytes	Megakaryocytes	0.64	-5.56	0	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	0.45	-1.82	0	0	0	0	0	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-7.3	-5.97	0	0	0	0	5.1	0
E10.5	E105_White_blood_cells	White_blood_cells	2.91	6.04	0	4.5	0	4.5	4.5	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-5.8	-6.1	0	0	0	0	6.2	0
E10.5	E105_White_blood_cells	White_blood_cells	1.76	2.05	0	0	0	4.9	0	4.9
E10.5	E105_Megakaryocytes	Megakaryocytes	-4.06	-3.65	4.9	0	3.9	0	4.5	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-4.36	-5.63	0	0	0	0	5.4	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-1.01	-3.61	0	0	0	0	6.2	0
E10.5	E105_White_blood_cells	White_blood_cells	-0.59	3.98	0	5.8	0	5.1	6.7	5.1
E10.5	E105_White_blood_cells	White_blood_cells	6.21	5.03	0	0	0	0	3.9	0
E10.5	E105_White_blood_cells	White_blood_cells	1.55	-5.48	0	0	0	0	4.3	5
E10.5	E105_White_blood_cells	White_blood_cells	-0.37	6.72	0	5.2	0	0	6.1	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-4.49	-6.48	0	0	0	0	6.8	0
E10.5	E105_White_blood_cells	White_blood_cells	2.69	1.75	5.2	5.2	0	0	0	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-1.23	-3.88	0	0	0	0	5.2	0
E10.5	E105_White_blood_cells	White_blood_cells	3.14	0.85	5	0	0	0	5.4	0
E10.5	E105_White_blood_cells	White_blood_cells	2.99	-4.15	0	0	0	0	4.8	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-5.34	-6.92	0	0	0	0	4.5	0
E10.5	E105_White_blood_cells	White_blood_cells	2.8	4.83	5	0	5.7	0	5.7	0
E10.5	E105_White_blood_cells	White_blood_cells	1.34	7.21	0	5.7	6	4.6	4.6	0
E10.5	E105_White_blood_cells	White_blood_cells	0.26	1.21	0	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	1.15	4.9	6.4	6.3	5.2	0	6.3	4.5
E10.5	E105_Megakaryocytes	Megakaryocytes	-5.04	-6.23	0	0	0	0	6.2	0
E10.5	E105_White_blood_cells	White_blood_cells	2.34	4.51	0	5.8	4.7	0	4.7	0
E10.5	E105_White_blood_cells	White_blood_cells	2.38	-4.54	0	0	0	0	4.9	0
E10.5	E105_White_blood_cells	White_blood_cells	0.52	3.11	5.4	6.5	0	5.4	5.4	0
E10.5	E105_White_blood_cells	White_blood_cells	1.84	1.95	4.5	4.5	5.1	0	5.1	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-0.16	-2.1	0	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	2.72	3.51	5	0	0	0	6.9	0
E10.5	E105_White_blood_cells	White_blood_cells	0.59	4.83	5	4.4	4.4	0	5	4.4
E10.5	E105_Megakaryocytes	Megakaryocytes	-5.85	-3.17	0	0	0	0	5.1	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-5.93	-4.06	0	0	0	0	5.1	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-0.32	-3.91	0	0	0	0	0	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-5.51	-4.43	0	0	0	0	5.5	0
